A/P,group,Scientific Name,Body Mass (g),Max. Indiv. Dispersal Distance (m),logmass,logdist
P,Plant,Erigeron angulosus,3.33E-04,85,-3.478,1.929418926
P,Plant,Erigeron canadensis,3.33E-04,2500,-3.478,3.397940009
A,Birds,Erithacus rubecula,1.82E+01,7.98E+04,1.26,4.902002891
P,Plant,Eucalyptus regnans,3.33E-03,150,-2.478,2.176091259
A,Birds,Eudocimus albus,1.04E+03,1.00E+05,3.017,5
P,Protista,Euglenophyta,1.00E-06,6.40E+01,-6,1.806179974
P,Plant,Eupatorium cannabinum,3.57E-04,7.81,-3.447,0.892651034
P,Plant,Eupatorium rugosum,3.57E-04,7.1,-3.447,0.851258349
A,Amphib,Eurycea bislineata,2.01E+00,4.20E+02,0.304,2.62324929
A,Amphib,Eurycea quadridigitata,8.58E-01,6.00E+02,-0.066,2.77815125
A,Fish,Eusphyra blochii,4.79E+03,2.10E+03,3.681,3.322219295
P,Plant,Fagus grandifolia,2.84E-01,4000,-0.547,3.602059991
P,Plant,Fagus sylvatica,2.25E-02,13,-1.648,1.113943352
A,Birds,Falco columbarius,2.18E+02,8.11E+04,2.338,4.909020854
A,Birds,Falco peregrinus,9.52E+02,3.57E+05,2.979,5.552668216
A,Birds,Falco sparverius,1.20E+02,3.88E+04,2.079,4.58871978
A,Birds,Falco tinnunculus,2.17E+02,1.59E+05,2.336,5.200850498
A,Mammals,Puma concolor,6.16E+04,2.74E+05,4.79,5.437750563
P,Plant,Festuca paradoxa,1.00E-04,0.29,-4,-0.537602002
A,Birds,Ficedula hypoleuca,1.50E+01,5.60E+04,1.176,4.748188027
P,Plant,Ficus stupenda,1.75E-04,75,-3.757,1.875061263
P,Plant,Ficus subtecta,1.75E-04,75,-3.757,1.875061263
P,Protista,Flabellula,4.50E-09,4.00E+02,-8.347,2.602059991
P,Plant,Fraxinus americana,4.53E-02,70.71,-1.344,1.849480837
P,Plant,Fraxinus excelsior,4.92E-02,40.3,-1.308,1.605305046
P,Plant,Fraxinus spp,4.41E-02,75,-1.356,1.875061263
A,Birds,Fringilla coelebs,2.19E+01,2.26E+04,1.34,4.354108439
A,Birds,Fulica atra,8.53E+02,7.94E+04,2.931,4.899820502
A,Fish,Gadus morhua,2.55E+03,1.18E+05,3.406,5.071882007
