"reported_name","reported_name_fixed","scientificName","kingdom","phylum","class","order","family","db","db_code","HandWingIndex","KippsDistance","Database","Unit"
"Aegithalos caudatus","Aegithalos caudatus","Aegithalos caudatus","Animalia","Chordata","Aves","Passeriformes","Aegithalidae","gbif","GBIF:2495000",22,14,"AVONET","mm"
"Alauda arvensis","Alauda arvensis","Alauda arvensis","Animalia","Chordata","Aves","Passeriformes","Alaudidae","gbif","GBIF:8077224",33.6,36,"AVONET","mm"
"Passerina cyanea","Passerina cyanea","Passerina cyanea","Animalia","Chordata","Aves","Passeriformes","Cardinalidae","gbif","GBIF:2490327",22.5,14.7,"AVONET","mm"
"Cinclus cinclus","Cinclus cinclus","Cinclus cinclus","Animalia","Chordata","Aves","Passeriformes","Cinclidae","gbif","GBIF:2495093",27.6,24.5,"AVONET","mm"
"Corvus brachyrhynchos","Corvus brachyrhynchos","Corvus brachyrhynchos","Animalia","Chordata","Aves","Passeriformes","Corvidae","gbif","GBIF:2482507",35.3,109.1,"AVONET","mm"
"Corvus corax","Corvus corax","Corvus corax","Animalia","Chordata","Aves","Passeriformes","Corvidae","gbif","GBIF:2482492",39.8,167.2,"AVONET","mm"
"Corvus frugilegus","Corvus frugilegus","Corvus frugilegus","Animalia","Chordata","Aves","Passeriformes","Corvidae","gbif","GBIF:2482513",41,127.8,"AVONET","mm"
"Garrulus glandarius","Garrulus glandarius","Garrulus glandarius","Animalia","Chordata","Aves","Passeriformes","Corvidae","gbif","GBIF:5229493",19.4,35.4,"AVONET","mm"
"Gymnorhinus cyanocephalus","Gymnorhinus cyanocephalus","Gymnorhinus cyanocephalus","Animalia","Chordata","Aves","Passeriformes","Corvidae","gbif","GBIF:5229498",26.6,39.2,"AVONET","mm"
"Perisoreus canadensis","Perisoreus canadensis","Perisoreus canadensis","Animalia","Chordata","Aves","Passeriformes","Corvidae","gbif","GBIF:2482436",18.1,27.2,"AVONET","mm"
"Pica pica","Pica pica","Pica pica","Animalia","Chordata","Aves","Passeriformes","Corvidae","gbif","GBIF:5229490",22.9,44.6,"AVONET","mm"
"Emberiza citrinella","Emberiza citrinella","Emberiza citrinella","Animalia","Chordata","Aves","Passeriformes","Emberizidae","gbif","GBIF:2491534",25.7,22.6,"AVONET","mm"
"Emberiza schoeniclus","Emberiza schoeniclus","Emberiza schoeniclus","Animalia","Chordata","Aves","Passeriformes","Emberizidae","gbif","GBIF:2491557",21.1,16.4,"AVONET","mm"
