Species,Original,Genus,Family,Order,Dispersal_syndrome,Growth_form,Seed_weight_(mg),Seed_release_height_(m),Seed_terminal_velocity_(m/s),Maximum_recorded_dispersal_distance_(m),99th_percentile_dispersal_distance_(m),90th_percentile_dispersal_distance_(m),Mean_dispersal_distance_(m),Mode_dispersal_distance_(m),Median_dispersal_distance_(m),Maximum_dispersal_distance_(m),Calculated_maximum_dispersal_distance_(m),Maximum_dispersal_distance_analysis_(m),Data_type,Region,Reference
Geranium maculatum,,Geranium,Geraniaceae,Geraniales,ballistic,herb,6.07,,,6.2,,,,1.4,,6.2,,6.2,model,temperate,Willson & Agren unpublished in Willson 1993
Hura crepitans,,Hura,Euphorbiaceae,Malpighiales,ballistic,tree,796,,,14,,,,,,14,,14,field,temperate,Stebbins 1971
Lepidium vulgare,,Lepidium,Brassicaceae,Brassicales,ballistic,herb,,,,1.9,,,,0.2,,1.9,,1.9,field,temperate,Thiede (pers. comm.) in Willson 1993
Lupinus texensis,,Lupinus,Fabaceae,Fabales,ballistic,herb,34,,,3.4,,,,0.2,,3.4,,3.4,field,temperate,Schaal 1980 in Willson 1993
Macrozamia riedlei,,Macrozamia,Zamiaceae,Cycadales,animal,tree,,,,24,,,,0.5,,24,,24,field,tropics,Burbidge & Whelan 1982 in Hughes et al. 1994
Muntingia calabura,,Muntingia,Muntingiaceae,Malvales,animal,tree,0.2,,,15,,,,,,15,,15,field,tropics,Thomas et al. 1988 in Hughes et al. 1994
Papaver somniferum,,Papaver,Papaveraceae,Ranunculales,wind (none),herb,0.32,1.5,,15,,,,,,15,,15,field,temperate,Ulbrich 1928 in van der Pijl 1972 in Hughes et al. 1994
Populus sp.,,Populus,Salicaceae,Malpighiales,wind (special),tree,,,,30000,,,,,,30000,,30000,field,temperate,van der Pijl 1972 in Hughes et al. 1994
Senecio jacobaea,,Senecio,Asteraceae,Asterales,wind (special),herb,0.25,1,0.37,14,,,2.5,,,14,,14,field,temperate,"Poole & Cairns in Harper 1977 in Cain et al. 1998, McEvoy & Cox 1987 in Cain et al. 1998"
Senecio congestus,,Senecio,Asteraceae,Asterales,wind (special),herb,0.63,1,,200000,,,,,,200000,,200000,field,temperate,van der Pijl 1972 in Hughes et al. 1994
Verbascum thapsus,,Verbascum,Scrophulariaceae,Lamiales,wind (special),herb,0.09,1.7,,13,,,4,,,13,,13,field,temperate,Salisbury in Harper 1977 in Cain et al. 1998
Achillea millefolium,,Achillea,Asteraceae,Asterales,wind (none),herb,0.2,1.2,1.47,,0.39,,,,0.07,0.39,,0.39,model,temperate,Soons & Ozinga 2005
Achillea ptarmica,,Achillea,Asteraceae,Asterales,wind (none),herb,0.25,1.5,2.08,,0.68,,,,0.11,0.68,,0.68,model,temperate,Soons & Ozinga 2005
Agrostemma githago,,Agrostemma,Caryophyllaceae,Caryophyllales,wind (none),herb,12.1,1.52,4.24,,0.21,,,,0.04,0.21,,0.21,model,temperate,Soons & Ozinga 2005
Agrostis stolonifera,,Agrostis,Poaceae,Poales,wind (special),herb,0.06,0.7,1.11,61,,,,,,61,,61,field,temperate,Feekes 1936 in Cain et al. 1998
