"reported_name","Original","Genus","Family","Order","Dispersal_syndrome","Growth_form","Seed_weight_(mg)","Seed_release_height_(m)","Seed_terminal_velocity_(m/s)","Maximum_recorded_dispersal_distance_(m)","99th_percentile_dispersal_distance_(m)","90th_percentile_dispersal_distance_(m)","Mean_dispersal_distance_(m)","Mode_dispersal_distance_(m)","Median_dispersal_distance_(m)","Maximum_dispersal_distance_(m)","Calculated_maximum_dispersal_distance_(m)","Maximum_dispersal_distance_analysis_(m)","Data_type","Region","Reference","genus","species","subspecies","genus_species","reported_name_fixed","scientificName","kingdom","phylum","class","order","family","db","db_code"
"Trifolium badium",NA,"Trifolium","Fabaceae","Fabales","wind (special)","herb",0.75,0.2,1.76,10,NA,NA,NA,NA,NA,10,NA,10,"model","temperate","Stšcklin & BŠumler 1996","Trifolium","badium",NA,"Trifolium badium","Trifolium badium","Trifolium badium","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:5359018"
"Trifolium pallescens",NA,"Trifolium","Fabaceae","Fabales","wind (special)","herb",0.62,NA,NA,6,NA,NA,NA,NA,NA,6,NA,6,"model","temperate","Stšcklin & BŠumler 1996","Trifolium","pallescens",NA,"Trifolium pallescens","Trifolium pallescens","Trifolium pallescens","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:5359121"
"Veronica filiformis",NA,"Veronica","Plantaginaceae","Lamiales","animal","herb",NA,0.3,NA,4700,NA,NA,NA,NA,NA,4700,NA,4700,"field","temperate","Williamson et al. 2003 in Py_ek & Hulme 2005 in Vittoz & Engler 2007","Veronica","filiformis",NA,"Veronica filiformis","Veronica filiformis","Veronica filiformis","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","gbif","GBIF:3172100"
"Viola odorata","Viola hirta","Viola","Violaceae","Malpighiales","ant","herb",3.4,0.1,NA,70,NA,NA,NA,NA,NA,70,NA,70,"field","temperate","Senander 1906 in Bonn & Poschold 1998 in Vittoz & Engler 2007","Viola","odorata",NA,"Viola odorata","Viola odorata","Viola odorata","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Violaceae","gbif","GBIF:5331181"
"Viola arvensis",NA,"Viola","Violaceae","Malpighiales","ballistic","herb",0.46,0.2,NA,2.4,NA,NA,NA,NA,NA,2.4,NA,2.4,"field","temperate","Stapf 1887 in MŸller-Schneider 1983 in Vittoz & Engler 2007","Viola","arvensis",NA,"Viola arvensis","Viola arvensis","Viola arvensis","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Violaceae","gbif","GBIF:5331235"
"Viola canina",NA,"Viola","Violaceae","Malpighiales","ballistic","herb",1.11,0.15,NA,4.7,NA,NA,NA,NA,NA,4.7,NA,4.7,"field","temperate","Ulbrich 1928 in MŸller-Schneider 1983 in Vittoz & Engler 2007","Viola","canina",NA,"Viola canina","Viola canina","Viola canina","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Violaceae","gbif","GBIF:5331258"
"Viola riviniana",NA,"Viola","Violaceae","Malpighiales","ballistic","herb",1.3,0.44,NA,4.6,NA,NA,NA,NA,NA,4.6,NA,4.6,"field","temperate","Ulbrich 1928 in MŸller-Schneider 1983 in Vittoz & Engler 2007","Viola","riviniana",NA,"Viola riviniana","Viola riviniana","Viola riviniana","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Violaceae","gbif","GBIF:7296321"
"Tilia platyphyllos",NA,NA,"Malvaceae",NA,"wind (special)","tree",98.8,30,NA,80,NA,NA,NA,NA,NA,80,NA,80,"field","temperate","MÙller-Schneider 1986 in Vittoz & Engler 2007","Tilia","platyphyllos",NA,"Tilia platyphyllos","Tilia platyphyllos","Tilia platyphyllos","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","gbif","GBIF:3152048"
"Bromus sterilis",NA,"Bromus","Poaceae","Poales","wind (special)","herb",6.42,0.65,3.77,20,NA,NA,NA,NA,NA,20,NA,20,"field","temperate","Howard et al. 1992 in Bullock & Clarke 2000","Bromus","sterilis",NA,"Bromus sterilis","Bromus sterilis","Bromus sterilis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2703647"
"Calluna vulgaris",NA,"Calluna","Ericaceae","Ericales","wind (special)","shrub",0.03,1,1.33,80,NA,0.8,NA,NA,NA,80,NA,80,"field","temperate","Bullock & Clarke 2000","Calluna","vulgaris",NA,"Calluna vulgaris","Calluna vulgaris","Calluna vulgaris","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","gbif","GBIF:2882482"
"Cardamine hirsuta",NA,"Cardamine","Brassicaceae","Brassicales","ballistic","herb",0.11,0.3,NA,0.9,NA,NA,NA,0.3,NA,0.9,NA,0.9,"field","temperate","Salisbury 1961 in Willson 1993","Cardamine","hirsuta",NA,"Cardamine hirsuta","Cardamine hirsuta","Cardamine hirsuta","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","gbif","GBIF:3046258"
"Carduus tenuiflorus",NA,"Carduus","Asteraceae","Asterales","wind (special)","herb",3.5,2,0.79,2.12,NA,NA,NA,NA,NA,2.12,NA,2.12,"model","temperate","Sheldon & Burrows 1973","Carduus","tenuiflorus",NA,"Carduus tenuiflorus","Carduus tenuiflorus","Carduus tenuiflorus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3114627"
"Erica cinerea",NA,"Erica","Ericaceae","Ericales","wind (special)","shrub",0.11,0.6,NA,80,NA,0.8,NA,NA,NA,80,NA,80,"field","temperate","Bullock & Clarke 2000","Erica","cinerea",NA,"Erica cinerea","Erica cinerea","Erica cinerea","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","gbif","GBIF:5333411"
"Papaver argemone",NA,"Papaver","Papaveraceae","Ranunculales","wind (none)","herb",0.16,3,2.42,3.1,NA,NA,NA,0.6,NA,3.1,NA,3.1,"field","temperate","Salisbury 1942 in Willson 1993","Papaver","argemone",NA,"Papaver argemone","Papaver argemone","Roemeria argemone","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","gbif","GBIF:5531435"
"Papaver dubium",NA,"Papaver","Papaveraceae","Ranunculales","wind (none)","herb",0.11,0.98,NA,2.1,NA,NA,NA,0.9,NA,2.1,NA,2.1,"field","temperate","Salisbury 1942 in Willson 1993","Papaver","dubium",NA,"Papaver dubium","Papaver dubium","Papaver dubium","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","gbif","GBIF:2888464"
"Papaver hybridum",NA,"Papaver","Papaveraceae","Ranunculales","wind (none)","herb",0.14,0.5,NA,2.4,NA,NA,NA,0.4,NA,2.4,NA,2.4,"field","temperate","Salisbury 1942 in Willson 1993","Papaver","hybridum",NA,"Papaver hybridum","Papaver hybridum","Papaver hybr","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","gbif","GBIF:6709064"
"Tussilago farfara",NA,"Tussilago","Asteraceae","Asterales","wind (special)","herb",0.3,0.3,0.21,4000,NA,NA,NA,10,NA,4000,NA,4000,"field","temperate","Bakker 1961 in Willson 1993","Tussilago","farfara",NA,"Tussilago farfara","Tussilago farfara","Tussilago farfara","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3149879"
"Vulpia ciliata",NA,"Vulpia","Poaceae","Poales","wind (none)","herb",0.42,NA,NA,1.1,NA,NA,0.19,NA,NA,1.1,NA,1.1,"field","temperate","Carey & Watkinson 1993","Vulpia","ciliata",NA,"Vulpia ciliata","Vulpia ciliata","Vulpia ciliata","Plantae",NA,"Magnoliopsida","Poales","Poaceae","itis","ITIS:505733"
"Vulpia fasciculata",NA,"Vulpia","Poaceae","Poales","wind (none)","herb",2.74,NA,NA,0.36,NA,NA,0.07,NA,NA,0.36,NA,0.36,"field","temperate","Watkinson 1978","Vulpia","fasciculata",NA,"Vulpia fasciculata","Vulpia fasciculata","Festuca fasciculata","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:4124456"
"Abutilon theophrasti",NA,"Abutilon","Malvaceae","Malvales","wind (none)","herb",9,NA,NA,1.04,NA,NA,NA,NA,NA,1.04,NA,1.04,"field","temperate","Primack & Miao 1992","Abutilon","theophrasti",NA,"Abutilon theophrasti","Abutilon theophrasti","Abutilon theophrasti","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","gbif","GBIF:3152614"
"Acer cappadocicum",NA,"Acer","Sapindaceae","Sapindales","wind (special)","tree",84.2,NA,1.08,48.2,NA,NA,NA,NA,NA,48.2,NA,48.2,"model","temperate","Matlack 1987","Acer","cappadocicum",NA,"Acer cappadocicum","Acer cappadocicum","Acer cappadocicum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:7262908"
"Acer griseum",NA,"Acer","Sapindaceae","Sapindales","wind (special)","tree",NA,NA,1.24,29.2,NA,NA,NA,NA,NA,29.2,NA,29.2,"model","temperate","Matlack 1987","Acer","griseum",NA,"Acer griseum","Acer griseum","Acer griseum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:3768452"
"Acer negundo",NA,"Acer","Sapindaceae","Sapindales","wind (special)","tree",33.7,20,0.76,41.1,NA,NA,NA,NA,NA,41.1,NA,41.1,"model","temperate","Matlack 1987","Acer","negundo",NA,"Acer negundo","Acer negundo","Acer negundo","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:3189866"
"Acer palmatum",NA,"Acer","Sapindaceae","Sapindales","wind (special)","tree",41.68,NA,1.08,11.6,NA,NA,NA,NA,NA,11.6,NA,11.6,"model","temperate","Matlack 1987","Acer","palmatum",NA,"Acer palmatum","Acer palmatum","Acer palmatum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:3189882"
"Agrostis hyemalis",NA,"Agrostis","Poaceae","Poales","wind (special)","herb",61,NA,0.96,11.5,NA,NA,2.22,0.25,NA,11.5,NA,11.5,"field","temperate","Rabinowitz & Rapp 1979","Agrostis","hyemalis",NA,"Agrostis hyemalis","Agrostis hyemalis","Agrostis hyemalis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2706548"
"Ailanthus altissima",NA,"Ailanthus","Simaroubaceae","Sapindales","wind (special)","tree",26.91,25,0.56,111.6,NA,NA,NA,NA,NA,111.6,NA,111.6,"model","temperate","Matlack 1987","Ailanthus","altissima",NA,"Ailanthus altissima","Ailanthus altissima","Ailanthus altissima","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Simaroubaceae","gbif","GBIF:3190653"
"Albizia julibrissin",NA,"Albizia","Fabaceae","Fabales","wind (special)","tree",612.95,NA,1.54,16.2,NA,NA,NA,NA,NA,16.2,NA,16.2,"model","temperate","Matlack 1987","Albizia","julibrissin",NA,"Albizia julibrissin","Albizia julibrissin","Albizia julibrissin","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:2972983"
"Alnus viridis subsp. crispa","Alnus crispa","Alnus","Betulaceae","Fagales","wind (special)","shrub",0.35,NA,0.94,6.65,NA,NA,NA,NA,NA,6.65,NA,6.65,"model","temperate","Matlack 1987","Alnus","viridis","subsp. crispa","Alnus viridis","Alnus viridis","Alnus alnobetula","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","gbif","GBIF:8956987"
"Amphicarpaea bracteata",NA,"Amphicarpaea","Fabaceae","Fabales","ballistic","herb",27.09,NA,NA,4.25,NA,NA,NA,0.25,1.43,4.25,NA,4.25,"field","temperate","Trapp 1988","Amphicarpaea","bracteata",NA,"Amphicarpaea bracteata","Amphicarpaea bracteata","Amphicarpaea bracteata","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:2960161"
"Andropogon glomeratus",NA,"Andropogon","Poaceae","Poales","wind (special)","herb",0.37,NA,NA,13.8,NA,NA,NA,NA,NA,13.8,NA,13.8,"field","temperate","Campbell 1983 in Cain et al. 1998","Andropogon","glomeratus",NA,"Andropogon glomeratus","Andropogon glomeratus","Andropogon glomeratus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2706097"
"Andropogon gyrans",NA,"Andropogon","Poaceae","Poales","wind (special)","herb",NA,NA,NA,10.3,NA,NA,NA,NA,NA,10.3,NA,10.3,"field","temperate","Campbell 1983 in Cain et al. 1998","Andropogon","gyrans",NA,"Andropogon gyrans","Andropogon gyrans","Andropogon gyrans","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2706106"
"Andropogon longiberbis",NA,"Andropogon","Poaceae","Poales","wind (special)","herb",NA,NA,NA,7.35,NA,NA,NA,NA,NA,7.35,NA,7.35,"field","temperate","Campbell 1983 in Cain et al. 1998","Andropogon","longiberbis",NA,"Andropogon longiberbis","Andropogon longiberbis","Andropogon longiberbis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2706078"
"Andropogon virginicus",NA,"Andropogon","Poaceae","Poales","wind (special)","herb",NA,NA,NA,8.6,NA,NA,NA,NA,NA,8.6,NA,8.6,"field","temperate","Campbell 1983 in Cain et al. 1998","Andropogon","virginicus",NA,"Andropogon virginicus","Andropogon virginicus","Andropogon virginicus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2706080"
"Andropogon gerardii",NA,"Andropogon","Poaceae","Poales","wind (special)","herb",2.74,NA,1.54,0.19,NA,NA,0.06,NA,NA,0.19,NA,0.19,"field","temperate","Rabinowitz & Rapp 1981","Andropogon","gerardii",NA,"Andropogon gerardii","Andropogon gerardii","Andropogon gerardi","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:4932035"
"Apocynum cannabinum",NA,"Apocynum","Apocynaceae","Gentianales","wind (special)","herb",1.78,NA,0.15,83.3,NA,NA,NA,NA,NA,83.3,NA,83.3,"model","temperate","Matlack 1987","Apocynum","cannabinum",NA,"Apocynum cannabinum","Apocynum cannabinum","Apocynum cannabinum","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","gbif","GBIF:3169790"
"Arceuthobium vaginatum subsp. cryptopodum",NA,"Arceuthobium","Santalaceae","Santalales","ballistic","shrub",NA,NA,NA,12.8,NA,NA,5.3,NA,NA,12.8,NA,12.8,"field","temperate","Hawksworth 1959 in Hughes et al. 1994","Arceuthobium","vaginatum","subsp. cryptopodum","Arceuthobium vaginatum","Arceuthobium vaginatum","Arceuthobium vaginatum","Plantae","Tracheophyta","Magnoliopsida","Santalales","Viscaceae","gbif","GBIF:2889831"
"Asclepias syriaca",NA,"Asclepias","Apocynaceae","Gentianales","wind (special)","herb",6.2,1,0.27,150,NA,NA,11,2.5,NA,150,NA,150,"field","temperate","Morse & Schmitt 1985","Asclepias","syriaca",NA,"Asclepias syriaca","Asclepias syriaca","Asclepias syriaca","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","gbif","GBIF:3170247"
"Betula uber",NA,"Betula","Betulaceae","Fagales","wind (special)","tree",NA,NA,NA,100,NA,NA,NA,NA,NA,100,NA,100,"field","temperate","Ford et al. 1983 in Willson 1993","Betula","uber",NA,"Betula uber","Betula uber","Betula lenta","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","gbif","GBIF:5331709"
"Betula lenta",NA,"Betula","Betulaceae","Fagales","wind (special)","tree",0.7,NA,NA,85,NA,NA,NA,NA,NA,85,NA,85,"model","temperate","Matlack 1987","Betula","lenta",NA,"Betula lenta","Betula lenta","Betula lenta","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","gbif","GBIF:5331709"
"Betula populifolia",NA,"Betula","Betulaceae","Fagales","wind (special)","tree",0.11,NA,0.12,64.1,NA,NA,NA,NA,NA,64.1,NA,64.1,"model","temperate","Matlack 1987","Betula","populifolia",NA,"Betula populifolia","Betula populifolia","Betula populifolia","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","gbif","GBIF:8184083"
"Calathea micans",NA,"Calathea","Marantaceae","Zingiberales","ant","herb",36,NA,NA,4.5,NA,NA,NA,NA,NA,4.5,NA,4.5,"field","temperate","LeCorff & Horvitz 1995","Calathea","micans",NA,"Calathea micans","Calathea micans","Goeppertia micans","Plantae","Tracheophyta","Liliopsida","Zingiberales","Marantaceae","gbif","GBIF:8070508"
"Carduus nutans",NA,"Carduus","Asteraceae","Asterales","wind (special)","herb",4,1,0.42,100,NA,NA,NA,5,NA,100,NA,100,"field","temperate","Smith & Kok 1984","Carduus","nutans",NA,"Carduus nutans","Carduus nutans","Carduus nutans","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:8185959"
"Carex pauciflora",NA,"Carex","Cyperaceae","Poales","ballistic","herb",0.78,0.15,2.26,NA,NA,NA,1,NA,NA,NA,6.2373,6.2373,"field","temperate","Hutton 1976 in Cain et al. 1998","Carex","pauciflora",NA,"Carex pauciflora","Carex pauciflora","Carex pauciflora","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","gbif","GBIF:2727907"
"Carpinus caroliniana",NA,"Carpinus","Betulaceae","Fagales","wind (special)","tree",81.28,NA,1.29,19.4,NA,NA,NA,NA,NA,19.4,NA,19.4,"model","temperate","Matlack 1987","Carpinus","caroliniana",NA,"Carpinus caroliniana","Carpinus caroliniana","Carpinus caroliniana","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","gbif","GBIF:2875842"
"Catalpa bignonioides",NA,"Catalpa","Bignoniaceae","Lamiales","wind (special)","tree",35.3,NA,1.86,16.8,NA,NA,NA,NA,NA,16.8,NA,16.8,"model","temperate","Matlack 1987","Catalpa","bignonioides",NA,"Catalpa bignonioides","Catalpa bignonioides","Catalpa bignonioides","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Bignoniaceae","gbif","GBIF:3172615"
"Chaenorhinum minus",NA,"Chaenorrhinum","Plantaginaceae","Lamiales","wind (none)","herb",NA,0.25,NA,1.34,NA,NA,NA,0.12,NA,1.34,NA,1.34,"field","temperate","Arnold 1981","Chaenorhinum","minus",NA,"Chaenorhinum minus","Chaenorhinum minus","Chaenorhinum minus","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","gbif","GBIF:3171669"
"Chamaecyparis thyoides","Cedris atlantica glauca","Chamaecyparis","Cupressaceae","Pinales","wind (special)","tree",32.36,NA,1.12,68.8,NA,NA,NA,NA,NA,68.8,NA,68.8,"model","temperate","Matlack 1987","Chamaecyparis","thyoides",NA,"Chamaecyparis thyoides","Chamaecyparis thyoides","Chamaecyparis thyoides","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","gbif","GBIF:2683871"
"Cirsium undulatum",NA,"Cirsium","Asteraceae","Asterales","wind (special)","herb",6.19,NA,0.3,36,NA,NA,18.4,NA,NA,36,NA,36,"field","temperate","Platt & Weis 1977","Cirsium","undulatum",NA,"Cirsium undulatum","Cirsium undulatum","Cirsium undulatum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3113051"
"Clematis virginiana",NA,"Clematis","Ranunculaceae","Ranunculales","wind (special)","shrub",7.2,NA,1.29,3.23,NA,NA,NA,NA,NA,3.23,NA,3.23,"model","temperate","Matlack 1987","Clematis","virginiana",NA,"Clematis virginiana","Clematis virginiana","Clematis virginiana","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","gbif","GBIF:3033541"
"Cnidoscolus urens subsp. stimulosus","Cnidoscolus stimulosus","Cnidoscolus","Euphorbiaceae","Malpighiales","ant","herb",54.5,NA,NA,NA,NA,NA,9,NA,NA,NA,54.1969,54.1969,"field","temperate","Stamp & Lucas 1990","Cnidoscolus","urens","subsp. stimulosus","Cnidoscolus urens","Cnidoscolus urens","Cnidoscolus urens","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","gbif","GBIF:3073653"
"Crotalaria rotundifolia",NA,"Crotalaria","Fabaceae","Fabales","ant","herb",3.4,NA,NA,16.97,NA,NA,2.22,NA,NA,16.97,NA,16.97,"field","temperate","Stamp & Lucas 1990","Crotalaria","rotundifolia",NA,"Crotalaria rotundifolia","Crotalaria rotundifolia","Crotalaria rotundifolia","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:2942940"
"Cryptantha flava",NA,"Cryptantha","Boraginaceae","UnplacedEuasteridI","wind (special)","herb",2.25,NA,NA,31.3,NA,NA,2.36,NA,NA,31.3,NA,31.3,"field","temperate","Casper 1987","Cryptantha","flava",NA,"Cryptantha flava","Cryptantha flava","Oreocarya flava","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Boraginaceae","gbif","GBIF:2926315"
"Datura wrightii",NA,"Datura","Solanaceae","Solanales","ant","herb",37.5,NA,NA,25.19,NA,NA,9.04,NA,NA,25.19,NA,25.19,"field","temperate","Ness (unpubl) in Ness et al. 2004","Datura","wrightii",NA,"Datura wrightii","Datura wrightii","Datura wrightii","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","gbif","GBIF:2928741"
"Datura discolor",NA,"Datura","Solanaceae","Solanales","ant","herb",6.2,NA,NA,39,NA,NA,NA,NA,NA,39,NA,39,"field","temperate","O'Dowd & Hay 1980","Datura","discolor",NA,"Datura discolor","Datura discolor","Datura discolor","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","gbif","GBIF:2928735"
"Dendromecon harfordii",NA,"Dendromecon","Papaveraceae","Ranunculales","ballistic","tree",16.73,NA,NA,5.05,NA,NA,3.58,NA,NA,5.05,NA,5.05,"field","temperate","Berg 1966","Dendromecon","harfordii",NA,"Dendromecon harfordii","Dendromecon harfordii","Dendromecon harfordii","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","gbif","GBIF:2888425"
"Dendromecon rigida",NA,"Dendromecon","Papaveraceae","Ranunculales","ballistic","shrub",15.4,NA,NA,4.8,NA,NA,2.67,NA,NA,4.8,NA,4.8,"field","temperate","Berg 1966","Dendromecon","rigida",NA,"Dendromecon rigida","Dendromecon rigida","Dendromecon rigida","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","gbif","GBIF:2888424"
"Erodium botrys",NA,"Erodium","Geraniaceae","Geraniales","ballistic","herb",5.6,NA,NA,NA,NA,NA,0.76,NA,NA,NA,4.7612,4.7612,"field","temperate","Stamp 1989","Erodium","botrys",NA,"Erodium botrys","Erodium botrys","Erodium botrys","Plantae","Tracheophyta","Magnoliopsida","Geraniales","Geraniaceae","gbif","GBIF:2891628"
"Erodium brachycarpum",NA,"Erodium","Geraniaceae","Geraniales","ballistic","herb",3.07,NA,NA,NA,NA,NA,0.75,NA,NA,NA,4.6996,4.6996,"field","temperate","Stamp 1989","Erodium","brachycarpum",NA,"Erodium brachycarpum","Erodium brachycarpum","Erodium brachycarpum","Plantae","Tracheophyta","Magnoliopsida","Geraniales","Geraniaceae","gbif","GBIF:2891617"
"Erodium cicutarium",NA,"Erodium","Geraniaceae","Geraniales","ballistic","herb",1.46,NA,2.5,NA,NA,NA,0.54,NA,NA,NA,3.4015,3.4015,"field","temperate","Stamp 1989","Erodium","cicutarium",NA,"Erodium cicutarium","Erodium cicutarium","Erodium cicutarium","Plantae","Tracheophyta","Magnoliopsida","Geraniales","Geraniaceae","gbif","GBIF:9485490"
"Erodium moschatum",NA,"Erodium","Geraniaceae","Geraniales","ballistic","herb",1.65,0.38,NA,NA,NA,NA,0.54,NA,NA,NA,3.4015,3.4015,"field","temperate","Stamp 1989","Erodium","moschatum",NA,"Erodium moschatum","Erodium moschatum","Erodium moschatum","Plantae","Tracheophyta","Magnoliopsida","Geraniales","Geraniaceae","gbif","GBIF:9419993"
"Eucalyptus regnans",NA,"Eucalyptus","Myrtaceae","Myrtales","wind (special)","tree",2.56,NA,NA,150,NA,NA,30,NA,NA,150,NA,150,"model","temperate","Cremer 1965 in Harper 1977 in Cain et al. 1998","Eucalyptus","regnans",NA,"Eucalyptus regnans","Eucalyptus regnans","Eucalyptus regnans","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","gbif","GBIF:3176566"
"Eupatorium rugosum",NA,"Eupatorium","Asteraceae","Asterales","wind (special)","herb",0.12,NA,0.45,7.1,NA,NA,NA,NA,NA,7.1,NA,7.1,"model","temperate","Matlack 1987","Eupatorium","rugosum",NA,"Eupatorium rugosum","Eupatorium rugosum","Eupatorium rugosum",NA,NA,NA,NA,NA,"itis","ITIS:182398"
"Euphorbia esula",NA,"Euphorbia","Euphorbiaceae","Malpighiales","ant","herb",3.5,NA,NA,25,NA,NA,NA,2.5,NA,25,NA,25,"field","temperate","Pemberton 1988","Euphorbia","esula",NA,"Euphorbia esula","Euphorbia esula","Euphorbia esula","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","gbif","GBIF:8203538"
"Fagus grandifolia",NA,"Fagus","Fagaceae","Fagales","animal","tree",266,NA,NA,4000,NA,NA,NA,NA,NA,4000,NA,4000,"field","temperate","Johnson & Adkisson 1985","Fagus","grandifolia",NA,"Fagus grandifolia","Fagus grandifolia","Fagus grandifolia","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","gbif","GBIF:2882274"
"Festuca paradoxa",NA,"Festuca","Poaceae","Poales","wind (none)","herb",0.97,NA,1.91,0.29,NA,NA,0.08,NA,NA,0.29,NA,0.29,"field","temperate","Rabinowitz & Rapp 1981","Festuca","paradoxa",NA,"Festuca paradoxa","Festuca paradoxa","Festuca paradoxa","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2704984"
"Geranium carolinianum",NA,"Geranium","Geraniaceae","Geraniales","ballistic","herb",3.5,NA,NA,4.6,NA,NA,3.29,NA,NA,4.6,NA,4.6,"field","temperate","Stamp & Lucas 1983","Geranium","carolinianum",NA,"Geranium carolinianum","Geranium carolinianum","Geranium carolinianum","Plantae","Tracheophyta","Magnoliopsida","Geraniales","Geraniaceae","gbif","GBIF:2890623"
"Geranium molle",NA,"Geranium","Geraniaceae","Geraniales","ballistic","herb",1.1,0.3,NA,3,NA,NA,1.79,NA,NA,3,NA,3,"field","temperate","Stamp & Lucas 1983","Geranium","molle",NA,"Geranium molle","Geranium molle","Geranium molle","Plantae","Tracheophyta","Magnoliopsida","Geraniales","Geraniaceae","gbif","GBIF:2891488"
"Halesia tetraptera subsp. monticola","Halesia monticola","Halesia","Styracaceae","Ericales","wind (special)","shrub",322.1,NA,3.38,18.5,NA,NA,NA,NA,NA,18.5,NA,18.5,"model","temperate","Matlack 1987","Halesia","tetraptera","subsp. monticola","Halesia tetraptera","Halesia tetraptera","Halesia tetraptera","Plantae","Tracheophyta","Magnoliopsida","Ericales","Styracaceae","gbif","GBIF:5371652"
"Hazardia squarrosa","Haplopappus squarrosus","Hazardia","Asteraceae","Asterales","ant","shrub",0.68,NA,NA,3,NA,NA,NA,NA,NA,3,NA,3,"field","temperate","Louda 1982","Hazardia","squarrosa",NA,"Hazardia squarrosa","Hazardia squarrosa","Hazardia squarrosa","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:5389275"
"Heterotheca subaxillaris subsp. latifolia","Heterotheca latifolia","Heterotheca","Asteraceae","Asterales","wind (special)","herb",0.71,NA,NA,19,NA,NA,1.65,NA,NA,19,NA,19,"field","temperate","Venable & Levin 1985","Heterotheca","subaxillaris","subsp. latifolia","Heterotheca subaxillaris","Heterotheca subaxillaris","Heterotheca subaxillaris","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:5401971"
